"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-01",,"47","19"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-02",,"50","22"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-03",,"46","22"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-04",,"44","23"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-05",,"48","23"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-06",,"53","23"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-07",,"37","23"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-08",,"36","16"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-09",,"44","21"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-10",,"47","20"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-11",,"55","29"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-12",,"52","28"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-13",,"48","25"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-14",,"52","35"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-15",,"54","30"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-16",,"50","25"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-17",,"55","27"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-18",,"48","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-19",,"50","36"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-20",,"46","29"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-21",,"49","28"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-22",,"49","32"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-23",,"42","30"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-24",,"39","29"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-25",,"41","22"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-26",,"46","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-27",,"49","27"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-28",,"44","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-29",,"40","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-30",,"45","28"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-01-31",,"48","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-01",,"46","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-02",,"51","29"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-03",,"40","32"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-04",,"47","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-05",,"50","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-06",,"52","29"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-07",,"46","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-08",,"42","30"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-09",,"46","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-10",,"48","30"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-11",,"46","29"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-12",,"51","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-13",,"54","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-14",,"51","30"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-15",,"42","23"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-16",,"50","34"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-17",,"52","28"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-18",,"60","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-19",,"58","29"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-20",,"55","34"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-21",,"50","36"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-22",,"44","27"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-23",,"43","23"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-24",,"49","23"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-25",,"48","37"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-26",,"51","30"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-27",,"51","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-02-28",,"53","36"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-01",,"51","36"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-02",,"53","29"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-03",,"60","34"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-04",,"64","33"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-05",,"58","37"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","2010-03-06",,"63","31"
